"year"	"week"	"aveTemp"	"maxTemp"	"relHum"	"sunHours"	"precip"	"total"	"pos"	"R1total"	"R1pos"	"R2total"	"R2pos"	"R3total"	"R3pos"	"R4total"	"R4pos"	"R5total"	"R5pos"	"R6total"	"R6pos"	"R7total"	"R7pos"	"R8total"	"R8pos"
2000	48	7.7	11.1	94	8	18	89	24	19	10	12	6	13	1	1	1	12	2	3	0	9	3	7	0
2000	49	7.6	10.2	92	6	18	90	21	7	1	3	1	13	0	1	0	18	4	11	4	8	2	19	2
2000	50	6.5	11	90	6	32	89	34	6	1	15	4	20	15	3	2	15	3	4	0	3	0	4	2
2000	51	-0.1	4.5	90	15	2	92	28	12	4	9	2	8	0	16	9	15	1	6	1	2	0	6	2
2000	52	-1.2	2.3	90	11	11	35	3	0	0	5	1	15	2	0	0	5	0	5	0	0	0	1	0
2001	1	3.9	6.3	92	1	23	72	12	6	0	6	1	16	4	4	1	13	4	5	2	3	0	3	0
2001	2	0.7	5.5	91	21	3	96	21	12	0	9	2	23	7	6	2	13	1	6	1	3	2	6	0
2001	3	-0.5	1.8	91	3	2	98	20	15	1	14	4	17	4	5	4	6	0	20	4	7	1	3	1
2001	4	2.7	7.3	93	4	18	102	27	20	7	6	0	20	3	9	7	18	5	2	1	7	1	12	2
2001	5	-2.2	4.1	86	17	5	74	14	7	1	8	4	3	0	3	1	19	1	6	1	4	1	14	5
2001	6	1.9	8.1	91	10	35	84	27	8	2	12	3	10	6	3	1	12	4	5	3	5	1	6	1
2001	7	3.2	8.6	87	26	3	82	18	4	1	9	1	16	5	9	3	14	3	9	2	0	0	8	1
2001	8	0.3	6.4	77	30	4	88	13	11	1	4	0	27	0	7	2	11	1	2	2	0	0	5	1
2001	9	-2.7	2.1	84	17	5	73	9	7	1	6	1	15	2	4	0	15	2	5	2	3	0	7	0
2001	10	3.2	8.9	86	19	15	97	36	18	6	9	2	19	9	9	5	8	1	12	5	4	3	4	1
2001	11	2.3	8	82	25	12	101	16	13	1	17	4	16	3	5	3	16	3	13	0	8	0	2	0
2001	12	-0.6	4.2	68	40	2	86	12	12	0	3	2	11	0	5	0	13	3	4	4	10	2	19	0
