"weeknr" "total_meas" "pos_meas"
"488" 488 44 12
"489" 489 37 8
"490" 490 41 11
"491" 491 34 14
"492" 492 45 8
"493" 493 51 8
"494" 494 47 31
"495" 495 47 33
"496" 496 44 15
"497" 497 38 16
"498" 498 30 18
"499" 499 46 26
"500" 500 43 26
"501" 501 47 21
"502" 502 44 27
"503" 503 48 33
"504" 504 48 26
"505" 505 47 19
"506" 506 45 14
"507" 507 47 18
"508" 508 41 14
"509" 509 50 22
"510" 510 50 11
"511" 511 42 6
"512" 512 39 21
"513" 513 51 13
"514" 514 49 6
"515" 515 47 3
"516" 516 57 8
"517" 517 49 2
"518" 518 46 5
"519" 519 44 5
"520" 520 49 3
"521" 521 14 4
"522" 522 24 3
"523" 523 41 6
"524" 524 45 6
"525" 525 41 3
"526" 526 45 6
"527" 527 52 5
"528" 528 38 9
"529" 529 49 8
"530" 530 43 7
"531" 531 46 5
"532" 532 48 3
"533" 533 30 5
"534" 534 33 2
"535" 535 47 8
"536" 536 44 12
